#Table: J/A+A/484/609/catalog.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------------------
    |                     |        |        |      |    e|      |    e|      |   e_|       |    e|       |    e|   |       |
 Seq|     RAdeg      DEdeg|    Xpos|    Ypos|  Bmag|_Bmag|  Vmag|_Vmag| Icmag|Icmag|   pmRA|_pmRA|   pmDE|_pmDE|Pmb|    HRV|     e_
----|---------------------|--------|--------|------|-----|------|-----|------|-----|-------|-----|-------|-----|---|-------|-------
 452|132.979312  11.680651|2315.584|1340.386|14.731|0.005|13.986|0.005|13.199|0.005|   5.89| 4.46|   7.02| 4.05|  0| 34.394|  0.092
 453|132.852361  11.680825|4195.741|1344.150|19.055|0.034|18.095|0.030|17.060|0.010|   7.74| 3.45|   0.77| 4.34|  9|999.999|999.999
 454|132.771636  11.681182|5391.313|1350.950|20.860|0.088|18.937|0.025|16.348|0.060|  22.73| 2.98|   5.30| 5.06|  0|999.999|999.999
 455|132.971225  11.681574|2435.341|1354.370|13.930|0.007|13.301|0.004|12.608|0.018|   5.30| 5.65|   5.77| 2.80| 19| 48.786|  0.161
 456|133.008895  11.681768|1877.468|1357.202|20.360|0.152|19.123|0.048|17.719|0.006|   7.56| 8.27|   3.57| 5.12| 12|999.999|999.999
 457|132.804047  11.681692|4911.278|1358.029|22.310|0.194|21.062|0.211|19.796|0.999|   8.03|21.12|   6.31|33.32| 38|999.999|999.999
 458|132.667939  11.681511|6926.953|1358.504|19.183|0.014|17.697|0.015|16.136|0.020|  -2.38| 3.75|   0.54| 4.52| 82|999.999|999.999
 459|132.742690  11.681858|5819.975|1361.800|99.999|0.999|21.250|0.183|18.748|0.999|  31.12|33.62| -34.33|21.54|  0|999.999|999.999
 460|132.857100  11.682457|4125.537|1368.753|21.821|0.288|20.002|0.098|17.726|0.026|   6.37| 2.74|   1.01|10.77| 23|999.999|999.999
 461|132.546609  11.681908|8723.292|1368.644|99.999|0.999|20.622|0.004|99.999|0.999| -14.04| 8.39| -14.04|12.32|  4|999.999|999.999
 462|132.591220  11.682111|8062.875|1370.055|16.701|0.006|15.754|0.009|14.781|0.003|  -3.99| 1.61|  -1.31| 2.02| 85|999.999|999.999
 463|132.590072  11.682068|8079.873|1369.441|14.194|0.004|13.566|0.014|12.925|0.002|  -4.11| 2.44|  -0.95| 1.73| 97|999.999|999.999
 464|132.844097  11.682801|4318.099|1374.138|18.732|0.025|17.405|0.026|15.952|0.011|   0.83| 1.31|   1.96| 4.70| 86|999.999|999.999
 465|132.929165  11.683231|3058.213|1379.681|15.975|0.005|15.088|0.007|14.177|0.005|   7.79| 1.73|  -1.84| 2.80|  1| 93.197|  0.142
 466|133.007857  11.684595|1892.813|1399.927|22.135|0.999|20.682|0.186|18.298|0.999|  -6.60| 9.16|  23.21|13.45| 10|999.999|999.999
 467|132.826682  11.684501|4575.999|1400.103|18.051|0.013|16.704|0.009|15.240|0.006|  -0.18| 1.55|  -1.19| 1.90| 93|999.999|999.999
 468|132.938341  11.684632|2922.295|1400.789|21.635|0.165|22.223|0.201|99.999|0.999| -33.26|45.81|   4.58| 9.04| 46|999.999|999.999
 469|132.845693  11.685135|4294.420|1409.400|16.945|0.005|16.106|0.009|15.206|0.011|   4.94| 2.92|   9.04| 3.33|  0|999.999|999.999
 470|132.827768  11.685116|4559.894|1409.386|21.492|0.201|19.814|0.074|17.841|0.042|   6.60|11.78|  -9.64| 2.44|  6|999.999|999.999
 471|133.003838  11.685606|1952.327|1415.226|19.995|0.041|18.373|0.035|16.460|0.004|   0.65| 3.03|   3.81| 6.07| 63|999.999|999.999
 472|133.071009  11.685852| 957.670|1419.005|18.610|0.006|16.589|0.007|13.912|0.004| -11.48| 1.73| -38.08| 1.07|  0|999.999|999.999
 473|132.809740  11.685891|4826.877|1421.403|15.142|0.011|14.443|0.008|13.731|0.004|   1.31| 1.13|  -1.55| 3.57| 99| 35.269|  0.111
 474|132.898591  11.686190|3510.974|1424.686|18.426|0.040|17.841|0.014|17.153|0.009|  20.23| 2.56| -16.42| 1.31|  0|999.999|999.999
 475|132.778913  11.686267|5283.422|1427.670|17.691|0.003|16.417|0.012|14.969|0.000|  23.26| 2.62| -15.05| 4.11|  0|999.999|999.999
 476|132.856438  11.686394|4135.258|1428.286|21.624|0.095|22.225|0.034|99.999|0.999|  19.52| 8.98|  12.79|18.50| 22|999.999|999.999
 477|133.099326  11.686574| 538.412|1430.050|21.082|0.999|21.553|0.337|20.576|0.999|  15.23|18.03| -39.92|44.57|  2|999.999|999.999
 478|132.828144  11.686620|4554.307|1432.116|16.684|0.004|16.030|0.012|15.300|0.010|   9.94| 0.95|  -6.37| 1.13|  0|999.999|999.999
 479|133.040572  11.686891|1408.357|1434.637|23.925|2.587|21.358|0.338|20.416|0.999| -88.00| 3.27| -38.02| 6.84|  0|999.999|999.999
 480|133.031120  11.687388|1548.316|1442.138|21.357|0.050|21.196|0.100|20.503|0.999|  27.43|25.11|  16.96|13.98|  2|999.999|999.999
 481|132.539933  11.686987|8821.942|1445.666|99.999|0.999|20.812|0.047|99.999|0.999| -30.05|18.21| -35.40|13.98|  0|999.999|999.999
 482|133.024775  11.687735|1642.261|1447.380|22.405|0.229|21.585|0.615|20.607|0.999| -42.07| 6.90|  23.38|29.10|  4|999.999|999.999
 483|132.875490  11.687773|3853.077|1448.873|99.999|0.999|20.721|0.139|17.366|0.999| -19.16|20.17| -15.11|23.26| 14|999.999|999.999
 484|132.736154  11.687753|5916.620|1451.072|18.792|0.019|17.705|0.018|16.522|0.004|  14.99| 3.69|   7.20| 3.93|  0|999.999|999.999
 485|132.854335  11.688271|4166.383|1456.683|20.699|0.062|19.672|0.043|18.579|0.048|  14.76| 2.86|   2.92| 4.88|  1|999.999|999.999
 486|132.665588  11.688198|6961.578|1459.657|19.803|0.069|17.940|0.019|15.623|0.029|  15.35| 2.86| -24.75| 6.01|  0|999.999|999.999
 487|132.627131  11.688325|7530.984|1462.760|22.424|0.999|21.389|0.162|19.166|0.999|  19.87|19.93| -44.68|26.89|  0|999.999|999.999
 488|132.735556  11.689116|5925.446|1471.678|19.588|0.043|18.226|0.032|16.706|0.004|  -0.36| 6.37|  -0.24| 3.99| 78|999.999|999.999
 489|133.060860  11.689940|1107.923|1480.765|22.646|0.489|20.978|0.095|19.582|0.080|  11.90|23.74|  18.50|24.99| 12|999.999|999.999
 490|133.014835  11.689971|1789.433|1481.192|13.288|0.008|12.648|0.020|11.965|0.002|   1.07| 2.08|   1.49| 1.67| 99|999.999|999.999
 491|132.729370  11.689760|6017.045|1481.561|22.174|0.999|20.718|0.084|18.190|0.047|  -8.63|16.54| -23.15|19.34|  7|999.999|999.999
 492|132.794932  11.690100|5046.098|1485.299|21.325|0.026|19.518|0.036|17.400|0.004|  -0.95| 8.09|  -0.36| 5.06| 50|999.999|999.999
 493|132.980830  11.690450|2292.990|1488.514|20.520|0.025|18.830|0.037|16.626|0.011|  19.69| 3.75| -14.52| 4.46|  0|999.999|999.999
 494|132.656827  11.690250|7091.230|1490.932|20.076|0.056|18.201|0.038|15.775|0.002| -15.41| 3.87|  -3.33| 2.86|  0|999.999|999.999
 495|132.720341  11.690427|6150.736|1491.872|26.271|3.421|21.037|0.045|18.605|0.999|  -9.76|16.12|  -3.27| 1.90| 54|999.999|999.999
 496|132.800550  11.690756|4962.886|1495.107|99.999|0.999|21.669|0.444|20.676|0.999|  18.68|15.05|   1.37|27.01| 26|999.999|999.999
 497|132.541389  11.690393|8800.264|1497.103|99.999|0.999|21.014|0.049|99.999|0.999| -24.63|12.73| -12.08| 6.31|  4|999.999|999.999
 498|133.094594  11.691034| 608.452|1497.450|20.792|0.047|19.068|0.061|16.759|0.060|  12.38| 7.56|  11.90|11.36|  0|999.999|999.999
 499|132.868145  11.691204|3961.794|1500.827|22.116|0.555|22.104|0.188|99.999|0.999|   9.34|22.67| -23.56|26.42| 22|999.999|999.999
 500|132.832891  11.691180|4483.910|1500.980|99.999|0.999|20.742|0.156|18.443|0.147|  16.48|17.61|  20.65|18.39|  3|999.999|999.999
 501|132.989051  11.691580|2171.246|1505.565|20.824|0.021|19.229|0.068|17.140|0.005|   7.85| 9.88|   0.36| 4.46| 13|999.999|999.999
 502|132.826164  11.691567|4583.526|1506.934|16.808|0.010|15.861|0.011|14.889|0.010|   1.13| 0.59|  -0.30| 1.31| 96|999.999|999.999
 503|132.910062  11.691718|3341.003|1508.134|17.580|0.007|16.446|0.008|15.192|0.001|   2.38| 3.51|  -3.63| 2.92| 72|999.999|999.999
 504|132.725623  11.691707|6072.476|1511.083|15.955|0.011|15.273|0.013|14.517|0.001|   7.14| 2.62|  -0.36| 1.31|  4|999.999|999.999
 505|132.980253  11.692662|2301.512|1521.955|19.531|0.018|17.775|0.014|15.781|0.007|   4.82| 2.44|   4.40| 2.38| 25|999.999|999.999
 506|132.776954  11.692748|5312.285|1525.676|20.030|0.060|18.375|0.032|16.411|0.043|   0.59| 1.96|  -1.01| 3.81| 73|999.999|999.999
 507|132.667184  11.692575|6937.813|1525.770|20.223|0.057|19.330|0.002|18.234|0.042|   8.63| 5.06|  -3.87| 4.46|  7|999.999|999.999
 508|132.562807  11.692692|8483.136|1531.020|99.999|0.999|18.686|0.006|16.308|0.010|  -9.88| 5.47|  -3.45| 5.35| 12|999.999|999.999
 509|132.840183  11.693493|4375.876|1535.818|22.468|0.480|20.482|0.028|18.441|0.002|   8.81|15.83|  11.66|12.73| 15|999.999|999.999
 510|132.940479  11.693645|2890.519|1537.022|99.999|0.999|21.634|0.256|19.417|0.999|  11.01|18.27| -22.25| 8.87| 21|999.999|999.999
 511|132.767323  11.693535|5454.893|1537.772|21.755|0.021|20.484|0.048|18.609|0.006|  -3.69|16.42| -18.45|16.30|  8|999.999|999.999
 512|132.635803  11.693389|7402.428|1539.028|21.763|0.122|21.113|0.142|20.290|0.060|  23.21|22.91|  30.82|41.05|  1|999.999|999.999
 513|132.721145  11.693713|6138.741|1541.520|21.359|0.168|19.621|0.084|18.490|0.141|   3.87| 5.95|  -0.48| 9.94| 35|999.999|999.999
 514|132.730548  11.694397|5999.470|1551.633|19.098|0.023|17.711|0.025|16.179|0.006|  -3.03| 3.15|  -1.90| 2.68| 76|999.999|999.999
 515|132.849513  11.694767|4237.677|1554.945|21.073|0.069|20.380|0.103|19.620|0.015|  13.80|17.49|  -3.27|15.47|  7|999.999|999.999
 516|132.953903  11.695412|2691.702|1563.652|21.848|0.303|21.543|0.180|20.925|0.999| -28.14|22.31| -32.31|13.69|  7|999.999|999.999
 517|132.876692  11.695429|3835.154|1564.602|20.234|0.051|18.468|0.033|16.426|0.017|   1.43| 1.67|  -3.45| 3.39| 57|999.999|999.999
 518|132.605579  11.695206|7849.860|1567.484|99.999|0.999|21.362|0.151|18.970|0.999|  15.41|22.31|  14.58|10.77| 25|999.999|999.999
 519|132.789608  11.695837|5124.825|1572.117|13.500|0.006|12.750|0.020|11.956|0.009|  -0.24| 2.80|  -4.76| 3.33| 98|999.999|999.999
 520|133.008916  11.696122|1877.033|1574.190|22.595|0.379|20.733|0.112|18.271|0.028|  19.99| 7.38|  14.16|17.02|  3|999.999|999.999
 521|132.780623  11.696139|5257.876|1576.870|21.797|0.999|20.408|0.017|18.052|0.053|   3.69|17.55|  17.02| 9.64| 10|999.999|999.999
 522|132.624989  11.695783|7562.469|1575.560|22.274|0.546|21.202|0.129|19.895|0.414|  -1.78|44.33| -14.76|32.61| 37|999.999|999.999
 523|133.060911  11.696957|1107.129|1586.849|21.513|0.155|20.753|0.138|19.722|0.037|  10.95|10.95|  -7.97|17.61| 17|999.999|999.999
 524|132.995896  11.696995|2069.826|1587.413|15.444|0.007|14.688|0.010|13.893|0.007|   0.24| 1.73|   1.61| 3.33| 99|999.999|999.999
 525|132.779021  11.696952|5281.577|1589.180|16.483|0.013|15.548|0.009|14.532|0.004|   0.30| 0.65|  -0.18| 1.61| 97|999.999|999.999
 526|132.828129  11.697161|4554.314|1591.458|22.354|0.167|21.398|0.204|19.960|0.999|  11.54|53.31| -10.35| 9.88| 29|999.999|999.999
 527|132.768725  11.697001|5434.057|1590.131|21.060|0.162|19.182|0.011|16.804|0.022|  -2.74| 6.25|  -0.48| 7.38| 56|999.999|999.999
 528|132.728089  11.696984|6035.833|1590.799|22.563|0.436|21.552|0.297|20.765|0.999|   0.77|49.21|   4.46|25.23| 52|999.999|999.999
 529|132.936058  11.697513|2955.944|1595.528|13.827|0.012|13.188|0.019|12.516|0.007|  -0.89| 2.62|   2.98| 1.31| 99|999.999|999.999
 530|132.796134  11.698416|5028.115|1610.992|21.652|0.173|20.168|0.123|17.456|0.046|  19.10| 8.15|   5.30| 6.60|  1|999.999|999.999
 531|132.609119  11.698244|7797.355|1613.285|21.312|0.260|21.317|0.222|20.565|0.999|   0.71|34.27| -14.34|38.26| 38|999.999|999.999
 532|132.868299  11.698811|3959.394|1615.824|18.207|0.012|16.918|0.004|15.498|0.009|   5.89| 2.14|   8.57| 2.74|  0|999.999|999.999
 533|133.095146  11.699141| 600.233|1620.015|18.915|0.016|18.034|0.023|17.045|0.014|   4.46| 4.64|   3.21| 5.83| 39|999.999|999.999
 534|132.863624  11.699673|4028.612|1628.923|17.241|0.014|16.603|0.007|15.890|0.011|  11.78| 1.73|   3.45| 2.26|  0|999.999|999.999
 535|132.755464  11.699674|5630.382|1630.823|14.004|0.001|13.451|0.011|12.805|0.003|   1.84| 2.62|   0.83| 1.78|100|999.999|999.999
 536|132.889705  11.699889|3642.353|1631.871|21.029|0.191|20.275|0.071|19.590|0.019|   5.24| 8.09|  -3.99| 7.44| 27|999.999|999.999
 537|132.590941  11.699683|8066.421|1635.674|21.062|0.104|19.783|0.077|18.173|0.056|  14.93| 5.00|   0.42| 4.82|  1|999.999|999.999
 538|132.912726  11.700279|3301.427|1637.527|99.999|0.999|21.569|0.274|19.279|0.999|   7.02|38.79| -10.47|11.60| 37|999.999|999.999
 539|132.891341  11.700236|3618.128|1637.091|22.002|0.999|21.466|0.292|19.631|0.999|  22.19|31.24| -23.32| 9.76|  7|999.999|999.999
 540|133.058847  11.700435|1137.669|1639.424|99.999|0.999|21.163|0.205|19.472|0.999| -14.99|23.56|  44.39|22.79|  0|999.999|999.999
 541|132.842362  11.700470|4343.476|1641.264|99.999|0.999|22.224|0.269|99.999|0.999|  20.23|25.41| -23.09| 5.83| 13|999.999|999.999
 542|132.808734  11.700580|4841.479|1643.473|21.930|0.380|20.523|0.061|19.214|0.008|  25.05|12.38|  -3.03| 6.31|  0|999.999|999.999
 543|133.057106  11.700812|1163.436|1645.119|21.462|0.194|19.764|0.075|17.975|0.010|   1.25| 8.39|  17.49| 7.44|  1|999.999|999.999
 544|132.721925  11.700650|6127.010|1646.367|21.739|0.405|21.035|0.067|20.165|0.073|   7.32| 8.75|  -2.50| 6.01| 38|999.999|999.999
 545|132.628890  11.700623|7504.570|1648.597|21.860|0.178|20.691|0.165|18.417|0.139|  -0.77| 7.56| -35.64|15.47|  0|999.999|999.999
 546|132.814797  11.701042|4751.687|1650.342|99.999|0.999|21.393|0.181|18.809|0.999|  30.88| 1.07| -30.23|17.97|  1|999.999|999.999
 547|133.060018  11.701490|1120.314|1655.370|19.621|0.025|18.133|0.011|16.417|0.008|  -1.37| 5.77|   1.78| 4.40| 78|999.999|999.999
 548|132.885740  11.701457|3701.058|1655.610|15.378|0.011|14.545|0.006|13.676|0.000|  -2.86| 3.03|   3.93| 5.12| 91| 32.059|  0.173
 549|132.590366  11.700976|8074.884|1655.232|22.385|0.999|20.986|0.186|18.321|0.999|  -5.30|12.49|  16.36|29.27| 39|999.999|999.999
 550|133.017825  11.701841|1745.056|1660.632|21.697|0.103|20.159|0.097|18.178|0.153|  21.84|15.41| -34.93|12.08|  0|999.999|999.999
 551|132.715197  11.701848|6226.600|1664.641|22.227|0.999|22.401|0.071|99.999|0.999|   2.56|16.36|   3.33| 3.45| 30|999.999|999.999
 552|132.939696  11.702822|2901.996|1675.754|17.807|0.026|17.114|0.012|16.374|0.006|   6.43| 1.55|   1.96| 1.73| 15|999.999|999.999
 553|132.914931  11.703019|3268.733|1678.930|16.220|0.008|15.653|0.010|15.021|0.010|   4.76| 2.26|  -0.95| 0.54| 62|999.999|999.999
 554|132.746954  11.702830|5756.319|1678.726|21.345|0.119|20.491|0.039|19.372|0.047|  27.43| 9.22|  -7.56| 9.58|  0|999.999|999.999
 555|132.618054  11.702730|7664.928|1680.806|13.372|0.009|12.819|0.014|12.209|0.011|   0.77| 2.92|   2.50| 3.39|100|999.999|999.999
 556|132.765869  11.703146|5476.209|1683.082|22.654|0.893|20.800|0.140|18.451|0.999|   3.63|11.42|   6.78|15.71| 42|999.999|999.999
 557|132.871629  11.703312|3909.995|1683.816|16.317|0.022|15.704|0.008|15.026|0.004|   9.10| 2.98|   6.84| 1.84|  0|999.999|999.999
 558|132.668699  11.703220|6915.079|1686.630|14.614|0.005|13.978|0.003|13.323|0.004|   1.84| 2.02|  -0.36| 3.57| 99| 33.215|  0.072
 559|132.743477  11.703394|5807.791|1687.328|14.349|0.023|13.739|0.028|13.014|0.283| -22.37|24.57|   0.24|13.63|  0| 15.884|  0.124
 560|132.897700  11.703927|3523.899|1692.827|22.434|0.999|20.995|0.102|18.838|0.999|   5.53|12.49|  -3.33|21.84| 42|999.999|999.999
 561|132.988040  11.704265|2186.078|1697.335|22.487|0.285|20.711|0.033|18.317|0.136|  -0.48|38.32|   2.26|24.28| 51|999.999|999.999
 562|133.026206  11.705050|1620.937|1709.148|21.889|0.151|21.711|0.079|21.356|0.999| -38.56|44.09|   0.24|21.48| 32|999.999|999.999
 563|132.895346  11.704952|3558.738|1708.337|19.693|0.048|19.872|0.071|20.061|0.031|  -4.76| 5.24|   0.89| 9.64| 42|999.999|999.999
 564|132.626532  11.704741|7539.352|1710.915|17.417|0.006|16.468|0.009|15.516|0.002|   8.03| 2.08|   4.58| 2.14|  0|999.999|999.999
 565|132.623342  11.704960|7586.571|1714.340|18.127|0.018|17.423|0.018|16.676|0.006|   7.50| 1.61|  -0.36| 2.98| 10|999.999|999.999
 566|132.933009  11.705685|3000.985|1719.082|21.449|0.999|21.358|0.060|20.056|0.999|  11.19|25.70|   0.30| 6.72| 36|999.999|999.999
 567|132.605065  11.705328|7857.147|1720.511|18.982|0.010|17.500|0.014|15.787|0.002|  20.53| 1.61|  -6.07| 3.63|  0|999.999|999.999
 568|132.888620  11.706039|3658.322|1724.842|21.470|0.046|19.891|0.056|17.637|0.025| -11.54| 9.94|   3.21| 6.72| 24|999.999|999.999
 569|132.918385  11.706207|3217.534|1727.086|22.130|0.281|21.166|0.238|20.002|0.300|  20.11|26.72| -34.39|31.83|  0|999.999|999.999
 570|133.058247  11.706301|1146.507|1728.101|99.999|0.999|21.422|0.236|20.493|0.999|  45.99|23.80|  15.71|23.32|  0|999.999|999.999
 571|132.951947  11.706357|2720.530|1729.115|14.686|0.012|14.021|0.014|13.309|0.004|  -0.89| 1.31|  -0.30| 3.21| 99| 31.631|  0.143
 572|132.861821  11.706537|4055.185|1732.700|19.779|0.022|18.160|0.011|16.401|0.008|  -0.95| 2.62|   1.31| 3.63| 79|999.999|999.999
 573|132.766632  11.706649|5464.833|1736.024|15.079|0.008|14.517|0.015|13.850|0.009|   5.41| 0.59|   2.38| 1.43| 46| 42.826|  0.145
 574|133.024207  11.706858|1650.519|1736.479|14.309|0.016|13.653|0.007|12.932|0.005|  -1.73| 1.01|  -0.24| 1.07|100| 42.318|  0.172
 575|133.095606  11.707019| 593.397|1739.114|22.377|0.333|20.647|0.103|18.157|0.096| -18.27|22.02|   0.54| 6.13| 31|999.999|999.999
 576|132.564400  11.706964|8459.067|1746.686|15.680|0.999|14.741|0.020|13.754|0.007|  -5.12| 7.91|   4.05| 3.09| 22|999.999|999.999
 577|132.668076  11.707244|6924.188|1747.481|21.662|0.178|19.742|0.055|17.611|0.013|   0.42| 9.34|  -6.31|11.36| 25|999.999|999.999
 578|132.915239  11.707849|3264.105|1751.946|17.690|0.017|16.590|0.022|15.393|0.000|   1.13| 0.48|  -1.37| 1.01| 92|999.999|999.999
 579|132.946256  11.708278|2804.773|1758.188|16.139|0.021|15.289|0.013|14.409|0.003|   1.73| 1.07|  -1.84| 1.13| 95| 34.568|  0.136
 580|133.069397  11.708327| 981.421|1758.774|14.032|0.007|13.412|0.011|12.746|0.004|  -0.65| 2.32|   0.36| 1.96|100|999.999|999.999
 581|132.589111  11.707859|8093.235|1759.322|21.829|0.272|21.373|0.287|20.389|0.999|  -4.58|10.17|  23.74|45.93| 33|999.999|999.999
 582|132.581612  11.708347|8204.236|1766.965|16.032|0.005|15.030|0.014|13.997|0.002|  -3.87| 3.09| -10.29| 3.21|  0| 52.585|  0.067
 583|132.627356  11.708512|7527.036|1767.899|18.012|0.008|16.951|0.018|15.845|0.004|   7.50| 2.80|   3.15| 2.50|  3|999.999|999.999
 584|132.587690  11.708882|8114.241|1774.836|20.814|0.095|19.063|0.032|17.112|0.015|  -3.57| 3.75|  10.71| 7.20|  8|999.999|999.999
 585|132.866850  11.709687|3980.659|1780.254|20.327|0.075|18.576|0.020|16.573|0.006|  -1.13| 0.71|  -1.49| 2.62| 72|999.999|999.999
 586|132.594389  11.709874|8015.039|1789.589|18.559|0.028|17.529|0.017|16.385|0.001|  -3.45| 3.21|   3.69| 3.57| 67|999.999|999.999
 587|132.911415  11.710387|3320.688|1790.342|14.753|0.006|14.107|0.006|13.405|0.020|  -0.89| 0.83|   1.31| 3.15| 99| 33.265|  0.123
 588|132.570854  11.709904|8363.430|1790.894|17.927|0.999|17.081|0.013|16.163|0.009|  -3.87| 7.02|  -1.07| 2.80| 78|999.999|999.999
 589|133.014306  11.710568|1797.089|1792.570|17.456|0.014|16.364|0.014|15.218|0.006|  -2.74| 0.95|   0.12| 0.71| 93|999.999|999.999
 590|133.083749  11.710774| 768.924|1795.827|19.141|0.008|18.577|0.015|17.898|0.019|  10.53| 2.74|   0.83| 3.63|  1|999.999|999.999
 591|132.860254  11.710886|4078.322|1798.472|17.683|0.015|16.582|0.006|15.391|0.009|   1.43| 1.55|  -0.06| 2.08| 93|999.999|999.999
 592|133.013725  11.711268|1805.683|1803.157|16.085|0.017|15.228|0.017|14.347|0.002|  -1.78| 1.90|   0.00| 1.67| 97|999.999|999.999
 593|132.976181  11.711372|2361.610|1804.813|22.204|0.349|20.357|0.102|18.002|0.028|  -0.65|12.02|  -6.90|19.22| 35|999.999|999.999
 594|132.825341  11.711234|4595.331|1804.238|22.121|0.999|21.439|0.061|19.801|0.999|  -0.12|12.08|  -4.88|11.30| 50|999.999|999.999
 595|133.059837  11.711704|1122.941|1809.784|99.999|0.999|21.017|0.026|19.149|0.999|  15.53|11.13|  18.21| 6.49| 10|999.999|999.999
 596|132.785028  11.711605|5192.296|1810.572|20.818|0.999|21.667|0.158|20.961|0.999| -26.60|34.87|  41.53|12.20|  5|999.999|999.999
 597|132.844770  11.711815|4307.592|1812.726|21.906|0.160|21.156|0.205|18.500|0.999|  22.02|25.35| -47.78|16.78|  0|999.999|999.999
 598|132.944341  11.712434|2833.081|1821.037|18.049|0.046|16.769|0.005|15.377|0.009|  -0.42| 2.50|  -1.78| 1.78| 91|999.999|999.999
 599|132.620730  11.711982|7625.019|1820.566|22.315|0.999|21.399|0.225|20.527|0.999|  20.53|17.08|  -6.31|43.73| 17|999.999|999.999
 600|132.760304  11.712271|5558.410|1821.135|21.675|0.999|20.957|0.162|18.568|0.038| -24.57|31.48| -14.28|16.54| 15|999.999|999.999
 601|132.590254  11.712376|8076.171|1827.565|17.167|0.006|16.003|0.011|14.760|0.003|   3.39| 2.86|   4.34| 4.11| 48|999.999|999.999
 602|132.980367  11.712944|2299.603|1828.556|21.178|0.117|19.434|0.043|17.319|0.054|   1.61| 8.21|  -4.22| 8.98| 38|999.999|999.999
 603|132.973553  11.713035|2400.508|1829.956|21.875|0.191|20.948|0.049|18.744|0.999|   7.74|10.53| -26.54|12.32|  4|999.999|999.999
 604|132.896211  11.713002|3545.794|1830.022|18.325|0.018|17.058|0.014|15.641|0.010|  -1.55| 3.33|   1.43| 1.90| 88|999.999|999.999
 605|132.871945  11.713140|3905.150|1832.384|18.474|0.010|17.758|0.018|16.997|0.015|   5.35| 1.13|  -0.30| 0.71| 37|999.999|999.999
 606|132.598557  11.712743|7953.241|1832.821|22.197|0.680|21.057|0.070|20.479|0.999|  13.69|14.64|   3.33| 7.68| 24|999.999|999.999
 607|132.926175  11.713217|3102.081|1832.997|21.299|0.137|22.216|0.613|20.780|0.999|  31.48|32.96|  64.91|53.43|  0|999.999|999.999
 608|132.635155  11.712913|7411.424|1834.179|20.119|0.030|19.534|0.074|18.743|0.027|   7.62| 6.84|  -5.18| 6.54| 10|999.999|999.999
 609|132.660533  11.713027|7035.700|1835.124|18.684|0.013|17.798|0.019|16.891|0.011|  11.42| 3.03|   2.50| 2.14|  0|999.999|999.999
 610|132.639447  11.712932|7347.891|1834.323|21.369|0.009|21.372|0.230|20.389|0.999|   7.68|27.67|  17.02| 2.50| 33|999.999|999.999
 611|133.103542  11.714706| 475.884|1855.378|18.802|0.014|17.887|0.021|16.869|0.005|   9.82| 5.89|  -2.08| 1.90|  1|999.999|999.999
 612|132.915856  11.715200|3254.853|1863.071|15.056|0.021|14.331|0.003|13.575|0.013|   4.22| 1.25| -18.86| 1.67|  0|999.999|999.999
 613|132.825417  11.715202|4594.128|1864.218|13.907|0.015|13.254|0.006|12.594|0.022|   1.78| 2.62|  -0.89| 3.69| 99| 33.274|  0.166
 614|132.550618  11.714735|8662.793|1864.676|99.999|0.999|16.408|0.006|99.999|0.999| -11.19| 0.89|   3.57| 6.54|  0|999.999|999.999
 615|133.018679  11.715495|1732.297|1867.051|18.934|0.007|17.520|0.013|16.009|0.006|   1.61| 2.08|  -1.90| 2.50| 80|999.999|999.999
 616|132.868036  11.715388|3962.998|1866.416|21.244|0.034|21.362|0.309|20.642|0.999|   7.14| 1.73|  -0.59| 6.84| 43|999.999|999.999
 617|132.611788  11.715780|7757.271|1878.276|15.009|0.007|14.438|0.014|13.803|0.001|   8.33| 2.32|   4.52| 3.33|  0|999.999|999.999
 618|132.566313  11.715811|8430.435|1880.355|21.786|0.999|20.244|0.063|17.813|0.017|  -6.31| 8.27|  -2.38| 6.13| 43|999.999|999.999
 619|132.985751  11.716668|2219.838|1884.834|22.128|0.142|19.900|0.105|17.495|0.012|  19.22| 2.14| -26.36| 3.03|  0|999.999|999.999
 620|133.004612  11.716718|1940.570|1885.554|20.767|0.169|20.090|0.069|19.310|0.059|  24.99|11.01|  -5.77| 6.96|  0|999.999|999.999
 621|133.012313  11.716959|1826.534|1889.182|19.719|0.035|18.306|0.032|16.833|0.010|   4.76| 4.64|  -7.56| 7.85|  5|999.999|999.999
 622|132.747314  11.717068|5750.651|1893.946|22.668|0.424|21.076|0.052|18.536|0.999|   4.34|18.45|  16.54| 8.15| 33|999.999|999.999
 623|133.065679  11.717845|1036.402|1902.650|18.876|0.031|18.042|0.006|17.157|0.011|   8.87| 4.64|   1.43| 2.80|  3|999.999|999.999
 624|132.852817  11.718392|4188.309|1912.036|15.485|0.008|14.685|0.012|13.837|0.007|   0.59| 2.38|   0.06| 1.67| 99|999.999|999.999
 625|132.994602  11.718807|2088.756|1917.155|21.472|0.214|19.430|0.024|17.311|0.061|   5.06| 6.25|  -1.01| 3.93| 30|999.999|999.999
 626|132.957572  11.719110|2637.066|1921.881|20.098|0.084|18.462|0.022|16.628|0.003|   5.59| 1.61|  -7.56| 7.14|  4|999.999|999.999
 627|133.057656  11.719168|1155.170|1922.619|17.217|0.005|16.561|0.017|15.797|0.010|   8.63| 1.96|  -0.30| 1.96|  1|999.999|999.999
