#Table: J/A+A/484/609/catalog.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------------------
    |                     |        |        |      |    e|      |    e|      |   e_|       |    e|       |    e|   |       |
 Seq|     RAdeg      DEdeg|    Xpos|    Ypos|  Bmag|_Bmag|  Vmag|_Vmag| Icmag|Icmag|   pmRA|_pmRA|   pmDE|_pmDE|Pmb|    HRV|     e_
----|---------------------|--------|--------|------|-----|------|-----|------|-----|-------|-----|-------|-----|---|-------|-------
  38|132.769234  11.589946|5428.955| -28.038|99.999|0.999|20.399|0.076|99.999|0.999|   4.58|12.73| -15.11|22.55|  2|999.999|999.999
  39|132.942681  11.590345|2859.224| -24.463|99.999|0.999|20.317|0.022|99.999|0.999|   8.09| 9.04|  -5.95| 6.72|  9|999.999|999.999
  40|132.830748  11.591851|4517.549|  -0.386|99.999|0.999|17.376|0.007|99.999|0.999|   8.45| 3.51|  -9.52| 5.18|  0|999.999|999.999
  41|132.659855  11.592220|7049.248|   9.147|99.999|0.999|18.037|0.012|99.999|0.999|  12.32| 1.78|  -6.54| 8.09|  0|999.999|999.999
  42|132.760390  11.592430|5559.914|   9.702|99.999|0.999|19.546|0.028|99.999|0.999|  16.18| 7.32| -14.82|17.73|  0|999.999|999.999
  43|132.731974  11.593186|5980.874|  21.784|99.999|0.999|14.873|0.009|99.999|0.999| -16.36| 3.87|  10.59|22.97|  0| 33.901|  0.077
  44|132.724494  11.595216|6091.637|  52.653|99.999|0.999|18.541|0.013|99.999|0.999| -10.47| 4.70|  10.59|24.22|  0|999.999|999.999
  45|132.582603  11.594953|8193.347|  53.011|99.999|0.999|21.374|0.126|99.999|0.999|  -8.03|12.32| -16.84|19.16| 27|999.999|999.999
  46|133.044551  11.595880|1350.069|  58.881|99.999|0.999|18.585|0.031|99.999|0.999| 125.72| 3.69|-167.97| 1.96|  0|999.999|999.999
  47|132.757197  11.595993|5607.146|  63.627|99.999|0.999|18.479|0.015|99.999|0.999|   7.32| 8.98| -24.75|20.47|  0|999.999|999.999
  48|133.065689  11.596670|1036.960|  70.866|99.999|0.999|17.575|0.011|99.999|0.999|   8.92| 3.69|  -5.24| 2.20|  0|999.999|999.999
  49|132.779730  11.596842|5273.302|  75.984|99.999|0.999|15.584|0.002|99.999|0.999|  10.95| 4.94| -27.31|26.06|  0|999.999|999.999
  50|132.865193  11.597137|4007.143|  78.996|99.999|0.999|19.347|0.033|99.999|0.999|  15.29| 5.71| -10.12| 5.59|  0|999.999|999.999
  51|132.794365  11.598528|5056.448| 101.172|99.999|0.999|20.538|0.041|99.999|0.999|  18.21|13.45| -16.24|23.62|  0|999.999|999.999
  52|132.802877  11.599116|4930.323| 109.893|99.999|0.999|19.131|0.056|16.576|0.005|  22.55| 7.20| -62.30|25.76|  0|999.999|999.999
  53|132.877849  11.599446|3819.604| 113.724|99.999|0.999|20.555|0.177|18.090|0.039|   4.22|12.49|  -4.46|21.06| 35|999.999|999.999
  54|133.069724  11.599685| 977.177| 116.454|19.569|0.003|17.750|0.007|15.599|0.014|  11.96| 4.88|  -6.43| 3.99|  0|999.999|999.999
  55|132.777237  11.599717|5310.174| 119.488|15.169|0.036|14.502|0.025|13.719|0.008|  -5.83|10.59| -30.46|24.75|  0|999.999|999.999
  56|132.843554  11.599897|4327.677| 121.025|99.999|0.999|20.719|0.169|18.569|0.082| -10.83|16.01| -29.10|14.70|  1|999.999|999.999
  57|132.892438  11.599952|3603.446| 121.210|16.312|0.017|15.112|0.009|13.775|0.001|  10.77| 2.98| -13.45| 2.98|  0|999.999|999.999
  58|133.017629  11.600069|1748.823| 122.204|17.287|0.004|16.156|0.021|14.832|0.017|  -9.40| 2.02| -21.00| 4.34|  0|999.999|999.999
  59|132.998827  11.600093|2027.352| 122.607|99.999|0.999|22.539|0.199|99.999|0.999| -13.03|26.60| -42.30|26.36| 13|999.999|999.999
  60|132.580534  11.599563|8223.846| 122.762|22.180|0.040|20.414|0.038|19.801|0.160|   3.81|11.60|   1.78|21.18| 36|999.999|999.999
  61|133.010686  11.600573|1851.672| 129.831|15.353|0.009|14.663|0.012|13.848|0.014|   5.77| 7.50| -20.41|10.83|  0|999.999|999.999
  62|132.779460  11.600396|5277.225| 129.697|20.710|0.088|18.914|0.052|16.774|0.011|  17.08| 7.85| -36.83|22.97|  0|999.999|999.999
  63|132.767374  11.600345|5456.270| 129.173|99.999|0.999|22.001|0.285|99.999|0.999|   1.31|46.89| -31.59|25.17| 18|999.999|999.999
  64|133.065170  11.600746|1044.631| 132.469|20.587|0.053|20.033|0.131|19.138|0.114|  15.05|12.49| -15.77| 4.40|  0|999.999|999.999
  65|132.933029  11.601015|3002.082| 136.876|21.040|0.106|20.895|0.068|19.834|0.005|  15.71|16.48|  18.86|21.18|  5|999.999|999.999
  66|132.641804  11.600957|7316.359| 141.754|20.678|0.100|19.468|0.055|18.211|0.023|   8.15| 4.05| -10.12| 6.31|  2|999.999|999.999
  67|133.048216  11.601496|1295.742| 143.772|21.810|0.182|20.720|0.172|19.698|0.098|  13.45| 7.79|  11.66|15.65| 10|999.999|999.999
  68|132.640833  11.601291|7330.730| 146.822|20.433|0.196|19.367|0.038|18.158|0.035|  13.45| 6.84| -18.68| 5.30|  0|999.999|999.999
  69|132.758537  11.601519|5587.170| 147.120|22.136|0.344|20.245|0.173|18.230|0.087|   6.01|22.67|  -4.28|18.74| 25|999.999|999.999
  70|132.925837  11.602318|3108.615| 156.631|19.530|0.065|18.079|0.021|16.330|0.005|  -2.08| 4.58|  -6.31| 2.20| 32|999.999|999.999
  71|132.553889  11.601881|8618.332| 158.791|99.999|0.999|21.400|0.348|99.999|0.999|  55.51|27.37| -19.40|17.91|  0|999.999|999.999
  72|132.834725  11.602596|4458.430| 161.952|18.033|0.055|16.667|0.008|15.178|0.010|  -1.61| 3.81|  -6.66| 5.47| 19|999.999|999.999
  73|133.009808  11.602811|1864.657| 163.661|20.062|0.043|18.586|0.030|16.849|0.018|  14.76| 5.53| -11.54|13.98|  0|999.999|999.999
  74|132.877282  11.602796|3827.952| 164.374|17.082|0.010|16.113|0.020|14.981|0.008|  -2.20| 3.09|  -1.96| 1.49| 93|999.999|999.999
  75|132.911510  11.602913|3320.853| 165.762|20.374|0.055|18.825|0.053|16.764|0.004|   4.40| 6.01|  -3.39| 4.76| 34|999.999|999.999
  76|132.906574  11.602982|3393.985| 166.852|16.974|0.020|16.345|0.010|15.575|0.010|   4.58| 2.38|  -1.73| 1.13| 60|999.999|999.999
